GPS speed,OBD speed,Engine RPM,Throttle position,Engine load,Coolant Temperature,engine_condition,Fuel Consumption,CO2 Emission,Engine Temperature,Brake Oil,Maintenance Score
149.0538263,149.1163935,3049.290634,40.03703378,74.9649709,65.0638076,CRITICAL,19.19,290.9,95,10,56.6
78.11535559,82.84592906,6999.068092,25.58944295,18.21607534,99.14839431,CRITICAL,22.86,332.8,168.7,10,49.3
130.1219861,127.9556221,4262.201133,24.18867985,21.91159309,102.4601137,CRITICAL,17.94,280.8,145.1,10,59.1
63.09890081,61.96540629,6435.287871,95.44554964,68.10178776,118.5785449,CRITICAL,31.38,402.9,182.8,10,32.2
16.4017811,11.91545681,3352.600364,64.23206283,57.60335986,99.62621925,CRITICAL,20.24,310.5,133.3,10,54.5
81.22594232,83.36443788,1791.988731,62.35674245,14.73481641,54.90280448,CRITICAL,15.13,244.1,71,10,64.7
54.79758747,55.77160324,1863.357332,30.85110689,50.14633567,89.24086507,CRITICAL,13.49,234.9,108.6,10,68
116.3121772,119.3676033,5030.773641,85.76688834,69.42754137,56.88949708,CRITICAL,27.43,375.1,107.9,10,40.1
93.29697667,97.94394333,4083.787489,6.342766298,47.33100647,89.93065328,CRITICAL,17.11,263,132.2,10,60.8
111.217939,107.7815581,2496.934903,76.24458565,18.89393327,73.02714377,CRITICAL,19.18,287.5,97.9,10,56.6
79.47747138,84.00030806,6900.349932,69.69851909,69.41465273,70.54666976,CRITICAL,29.17,397.2,141.3,10,36.7
45.30732982,49.97939045,5556.09381,31.49433619,39.18691421,63.10276239,CRITICAL,21.43,313.1,117.5,10,52.1
56.87398269,57.50534097,2097.934779,50.59510656,11.438848,48.99694574,CRITICAL,14.77,240.4,70.4,10,65.5
107.5506541,112.1823273,1448.950313,25.6802056,39.42627886,39.2763966,CRITICAL,12.41,219.6,53,10,70.2
27.02733061,24.63570457,4001.649409,96.95937675,56.60150427,117.6785656,CRITICAL,26.2,358.9,159.3,10,42.6
139.1430497,143.6940102,1306.783814,63.59761273,57.35523671,45.40154623,CRITICAL,17.26,272.3,58.6,10,60.5
64.21116142,60.8110436,1166.740682,54.55059319,67.9646485,51.53943987,CRITICAL,16.25,260.5,62.8,10,62.5
7.516415856,9.133496211,6782.829222,63.23793838,93.66135389,80.95079705,CRITICAL,29.88,395.8,147.8,10,35.2
137.2972864,133.9818706,4717.723792,92.8684508,24.82086875,113.7689771,CRITICAL,25.12,351.1,160.7,10,44.8
9.578937353,13.97218272,3245.736925,23.96108957,32.33350665,93.98727516,CRITICAL,15.5,247.9,127.6,10,64
60.43880203,65.08535464,1679.554875,68.17351426,89.25689691,69.7078991,CRITICAL,19.04,288,86.6,10,56.9
88.16507928,86.75996271,6107.325581,22.28058626,0.008434697,107.0344791,CRITICAL,19.78,295.1,167.9,10,55.4
